"","PD_DESC","OFNS_DESC","LAW_CAT_CD","AGE_GROUP","PERP_SEX","PERP_RACE","Latitude","Longitude","YEAR"
"2888","ROBBERY,UNCLASSIFIED,OPEN AREAS","ROBBERY","F","<18","M","BLACK",40.8414428350001,-73.854731812,2017
"2889","PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY","MISCELLANEOUS PENAL LAW","F","25-44","M","BLACK",40.67459999,-73.930574822,2017
"2890","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","25-44","M","BLACK HISPANIC",40.731978301,-73.999810214,2017
"2891","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","45-64","M","BLACK",40.8617089090001,-73.891382086,2017
"2892","LIGHTS,IMPROPER","OTHER TRAFFIC INFRACTION","I","25-44","M","WHITE",40.674749917,-73.997769895,2017
"2893","TRAFFIC,UNCLASSIFIED INFRACTION","OTHER TRAFFIC INFRACTION","M","25-44","M","BLACK",40.681391139,-73.953516422,2017
"2894","DRUG PARAPHERNALIA,   POSSESSES OR SELLS 2","DANGEROUS DRUGS","M","45-64","M","WHITE",40.7878745990001,-73.928181646,2017
"2895","LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED","GRAND LARCENY","F","25-44","F","WHITE",40.7695612420001,-73.9153634469999,2017
"2896","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","18-24","F","BLACK HISPANIC",40.7893478930001,-73.947352413,2017
"2897","RECKLESS DRIVING","VEHICLE AND TRAFFIC LAWS","M","25-44","M","BLACK HISPANIC",40.8604843100001,-73.921234441,2017
"2898","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","25-44","M","WHITE HISPANIC",40.70322958,-73.9382379469999,2017
"2899","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","25-44","M","WHITE HISPANIC",40.707036013,-73.923590672,2017
"2900","AGGRAVATED HARASSMENT 2","OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV","M","45-64","M","WHITE HISPANIC",40.8377816180001,-73.919457971,2017
"2901","POSSESSION HYPODERMIC INSTRUMENT","DANGEROUS DRUGS","M","25-44","F","WHITE",40.602620947,-73.914663965,2017
"2902","INTOXICATED DRIVING,ALCOHOL","INTOXICATED & IMPAIRED DRIVING","M","25-44","F","WHITE HISPANIC",40.7370208500001,-73.899924493,2017
"2903","CHILD, ENDANGERING WELFARE","SEX CRIMES","M","25-44","F","ASIAN / PACIFIC ISLANDER",40.823101299,-73.8696904609999,2017
"2904","CONTEMPT,CRIMINAL","OFFENSES AGAINST PUBLIC ADMINISTRATION","M","25-44","M","WHITE HISPANIC",40.809153547,-73.935907215,2017
"2905","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","18-24","M","BLACK",40.736868993,-73.989706546,2017
"2906","PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY","MISCELLANEOUS PENAL LAW","F","25-44","F","ASIAN / PACIFIC ISLANDER",40.6953674470001,-73.983243425,2017
"2907","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","M","WHITE",40.7256816840001,-74.0057812109999,2017
"2908","WEAPONS, POSSESSION, ETC","DANGEROUS WEAPONS","M","25-44","M","WHITE",40.5120382540001,-74.249754952,2017
"2909","TRESPASS 3, CRIMINAL","CRIMINAL TRESPASS","M","18-24","M","BLACK HISPANIC",40.803268824,-73.9466189939999,2017
"2910","CONTROLLED SUBSTANCE, INTENT TO SELL 5","DANGEROUS DRUGS","F","18-24","M","BLACK",40.5769557720001,-74.002694096,2017
"2911","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","M","BLACK HISPANIC",40.832290393,-73.9096211029999,2017
"2912","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","M","ASIAN / PACIFIC ISLANDER",40.853587401,-73.9005913559999,2017
"2913","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","25-44","M","BLACK",40.8278199010001,-73.925930756,2017
"2914","LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED","GRAND LARCENY","F","25-44","M","WHITE HISPANIC",40.726965067,-73.953116629,2017
"2915","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","45-64","M","BLACK",40.657739603,-73.868597031,2017
"2916","INTOXICATED DRIVING,ALCOHOL","INTOXICATED & IMPAIRED DRIVING","M","18-24","M","ASIAN / PACIFIC ISLANDER",40.7154022070001,-73.7707184719999,2017
"2917","WEAPONS, POSSESSION, ETC","DANGEROUS WEAPONS","M","25-44","M","WHITE HISPANIC",40.716344152,-74.001253193,2017
"2918","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","45-64","M","BLACK",40.716344152,-74.001253193,2017
"2919","OBSTR BREATH/CIRCUL","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","WHITE",40.616472731,-73.929043217,2017
"2920","PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY","MISCELLANEOUS PENAL LAW","F","45-64","M","BLACK",40.774106235,-73.931431472,2017
"2921","ROBBERY,UNCLASSIFIED,OPEN AREAS","ROBBERY","F","45-64","F","BLACK",40.8533202290001,-73.906024752,2017
"2922","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","25-44","M","WHITE HISPANIC",40.898457915,-73.85429974,2017
"2923","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","18-24","M","BLACK HISPANIC",40.863028823,-73.917558287,2017
"2924","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","WHITE HISPANIC",40.815929553,-73.9451673569999,2017
"2925","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","18-24","M","BLACK",40.723658594,-73.9910217999999,2017
"2926","TRAFFIC,UNCLASSIFIED MISDEMEANOR","VEHICLE AND TRAFFIC LAWS","F","65+","M","BLACK HISPANIC",40.742663608,-73.998049108,2017
"2927","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","F","BLACK",40.6745470180001,-73.751297708,2017
"2928","CONTROLLED SUBSTANCE,SALE 3","DANGEROUS DRUGS","F","45-64","M","BLACK",40.6696915590001,-73.882361912,2017
"2929","MENACING,UNCLASSIFIED","ASSAULT 3 & RELATED OFFENSES","M","18-24","F","WHITE HISPANIC",40.8008808930001,-73.940953807,2017
"2930","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","25-44","M","BLACK",40.8443518110001,-73.914744223,2017
"2931","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","18-24","M","WHITE",40.538801993,-74.212071233,2017
"2932","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","25-44","M","WHITE HISPANIC",40.798483162,-73.9491474709999,2017
"2933","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","18-24","M","WHITE HISPANIC",40.869407492,-73.879998313,2017
"2934","INTOXICATED DRIVING,ALCOHOL","INTOXICATED & IMPAIRED DRIVING","M","25-44","M","ASIAN / PACIFIC ISLANDER",40.758372158,-73.831537087,2017
"2935","WEAPONS, POSSESSION, ETC","DANGEROUS WEAPONS","M","25-44","M","WHITE HISPANIC",40.8256022800001,-73.82097874,2017
"2936","ASSAULT 2,1,UNCLASSIFIED","FELONY ASSAULT","F","45-64","F","BLACK",40.6494481240001,-73.9630777259999,2017
"2937","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","F","WHITE HISPANIC",40.8328953810001,-73.926716496,2017
"2938","LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED","GRAND LARCENY","F","25-44","M","WHITE HISPANIC",40.733883033,-74.0054283109999,2017
"2939","CONTROLLED SUBSTANCE,INTENT TO SELL 3","DANGEROUS DRUGS","F","25-44","M","WHITE HISPANIC",40.8660757600001,-73.8943757869999,2017
"2940","PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY","MISCELLANEOUS PENAL LAW","F","25-44","M","BLACK HISPANIC",40.7534640760001,-73.994399743,2017
"2941","PUBLIC ADMINISTATION,UNCLASS MISDEMEAN 4","OFFENSES AGAINST PUBLIC ADMINISTRATION","M","25-44","F","BLACK",40.757467209,-73.946190063,2017
"2942","CHILD, ENDANGERING WELFARE","SEX CRIMES","M","25-44","M","ASIAN / PACIFIC ISLANDER",40.756860977,-73.875656664,2017
"2943","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","45-64","M","WHITE HISPANIC",40.812785546,-73.9278513089999,2017
"2944","ROBBERY,UNCLASSIFIED,OPEN AREAS","ROBBERY","F","25-44","M","WHITE HISPANIC",40.716344152,-74.001253193,2017
"2945","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","45-64","M","WHITE HISPANIC",40.7544504320001,-73.9791355039999,2017
"2946","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","18-24","F","WHITE HISPANIC",40.8233872910001,-73.87017045,2017
"2947","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","18-24","F","BLACK",40.639935025,-73.94358964,2017
"2948","MARIJUANA, SALE 4 & 5","DANGEROUS DRUGS","M","18-24","M","BLACK",40.83643763,-73.867065981,2017
"2949","OBSTR BREATH/CIRCUL","ASSAULT 3 & RELATED OFFENSES","M","25-44","F","BLACK",40.666528795,-73.955073172,2017
"2950","MARIJUANA, POSSESSION","MISCELLANEOUS PENAL LAW","V","18-24","M","BLACK",40.676231908,-74.0069449969999,2017
"2951","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","18-24","M","BLACK",40.6511940670001,-73.963898429,2017
"2952","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","45-64","M","BLACK",40.680487139,-73.925553583,2017
"2953","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","18-24","M","BLACK",40.8126188850001,-73.956827802,2017
"2954","TRAFFIC,UNCLASSIFIED MISDEMEANOR","VEHICLE AND TRAFFIC LAWS","M","25-44","M","WHITE HISPANIC",40.647354012,-74.0079906389999,2017
"2955","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","<18","M","BLACK",40.7504307680001,-73.989282176,2017
"2956","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","45-64","M","WHITE",40.757240531,-73.9897936369999,2017
"2957","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","M","WHITE HISPANIC",40.74308804,-73.8660649459999,2017
"2958","TRESPASS 2, CRIMINAL","CRIMINAL TRESPASS","M","25-44","F","BLACK",40.826556227,-73.9380186939999,2017
"2959","MENACING,UNCLASSIFIED","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","ASIAN / PACIFIC ISLANDER",40.7332793140001,-73.999813819,2017
"2960","TRESPASS 3, CRIMINAL","CRIMINAL TRESPASS","M","25-44","M","BLACK",40.7684134350001,-73.982055358,2017
"2961","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","25-44","M","WHITE HISPANIC",40.7694121490001,-73.872640362,2017
"2962","INTOXICATED DRIVING,ALCOHOL","INTOXICATED & IMPAIRED DRIVING","M","45-64","M","WHITE HISPANIC",40.628169744,-73.9413587829999,2017
"2963","ASSAULT 2,1,UNCLASSIFIED","FELONY ASSAULT","F","25-44","M","BLACK",40.757467209,-73.946190063,2017
"2964","TRESPASS 3, CRIMINAL","CRIMINAL TRESPASS","M","18-24","M","BLACK",40.6751493680001,-73.922632192,2017
"2965","UNAUTHORIZED USE VEHICLE 2","MISCELLANEOUS PENAL LAW","F","25-44","M","BLACK",40.669019744,-73.802643308,2017
"2966","TRAFFIC,UNCLASSIFIED INFRACTION","OTHER TRAFFIC INFRACTION","M","25-44","M","WHITE HISPANIC",40.646854906,-73.950127892,2017
"2967","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","45-64","M","BLACK",40.8234629460001,-73.9433834819999,2017
"2968","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","25-44","M","BLACK",40.656692639,-73.929897863,2017
"2969","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","45-64","M","BLACK",40.7348461990001,-73.9907568839999,2017
"2970","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","25-44","M","WHITE HISPANIC",40.811446464,-73.916184409,2017
"2971","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","18-24","M","WHITE HISPANIC",40.8160888740001,-73.917688689,2017
"2972","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","M","BLACK",40.6242367720001,-74.0807555329999,2017
"2973","ROBBERY,UNCLASSIFIED,OPEN AREAS","ROBBERY","F","18-24","M","BLACK HISPANIC",40.6953674470001,-73.983243425,2017
"2974","CONTROLLED SUBSTANCE,SALE 3","DANGEROUS DRUGS","F","18-24","F","WHITE",40.682864862,-73.9602541249999,2017
"2975","MARIJUANA, POSSESSION","MISCELLANEOUS PENAL LAW","V","18-24","M","BLACK HISPANIC",40.639565947,-74.017858834,2017
"2976","MURDER,UNCLASSIFIED","MURDER & NON-NEGL. MANSLAUGHTER","F","18-24","M","BLACK",40.726293088,-73.7347608489999,2017
"2977","AGGRAVATED HARASSMENT 1","MISCELLANEOUS PENAL LAW","F","25-44","M","BLACK",40.8307989140001,-73.826948796,2017
"2978","CONTEMPT,CRIMINAL","OFFENSES AGAINST PUBLIC ADMINISTRATION","M","25-44","M","BLACK",40.822298485,-73.9116941309999,2017
"2979","ROBBERY,UNCLASSIFIED,OPEN AREAS","ROBBERY","F","18-24","M","BLACK",40.6179345900001,-73.931732371,2017
"2980","OBSTR BREATH/CIRCUL","ASSAULT 3 & RELATED OFFENSES","M","18-24","M","WHITE HISPANIC",40.847063823,-73.915069661,2017
"2981","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","18-24","M","WHITE HISPANIC",40.741769049,-73.906178483,2017
"2982","UNAUTHORIZED USE VEHICLE 3","UNAUTHORIZED USE OF A VEHICLE 3 (UUV)","M","25-44","M","WHITE",40.7118331460001,-73.8361166889999,2017
"2983","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","WHITE",40.7669050060001,-73.963731019,2017
"2984","WEAPONS POSSESSION 1 & 2","DANGEROUS WEAPONS","F","18-24","M","BLACK",40.817105702,-73.905071532,2017
"2985","STRANGULATION 1ST","FELONY ASSAULT","F","25-44","M","WHITE HISPANIC",40.597999401,-73.7600162689999,2017
"2986","RAPE 1","RAPE","F","25-44","M","WHITE",40.697963515,-73.9180833619999,2017
"2987","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","M","BLACK",40.751863853,-73.993706898,2017
"2988","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","25-44","M","WHITE HISPANIC",40.689027417,-73.9861585519999,2017
"2989","NY STATE LAWS,UNCLASSIFIED VIOLATION","OTHER STATE LAWS","V","25-44","M","ASIAN / PACIFIC ISLANDER",40.639328871,-74.023551786,2017
"2990","LARCENY,GRAND FROM PERSON,UNCLASSIFIED","GRAND LARCENY","F","18-24","M","BLACK",40.6759764020001,-73.963023382,2017
"2991","FORGERY,ETC.,UNCLASSIFIED-FELONY","FORGERY","F","25-44","M","BLACK",40.6742444430001,-73.9486978319999,2017
"2992","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","M","BLACK",40.6804396050001,-73.8428602229999,2017
"2993","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","25-44","M","WHITE HISPANIC",40.739645281,-73.8607311339999,2017
"2994","NY STATE LAWS,UNCLASSIFIED MISDEMEANOR","OTHER STATE LAWS (NON PENAL LAW)","M","18-24","M","BLACK",40.7861233140001,-73.9426135639999,2017
"2995","NY STATE LAWS,UNCLASSIFIED MISDEMEANOR","OTHER STATE LAWS (NON PENAL LAW)","M","18-24","M","BLACK",40.7590570560001,-73.985223541,2017
"2996","AGGRAVATED HARASSMENT 2","OFF. AGNST PUB ORD SENSBLTY &","M","25-44","M","WHITE HISPANIC",40.810398494,-73.9248953109999,2017
"2997","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","18-24","M","WHITE HISPANIC",40.73975965,-74.002523863,2017
"2998","CRIMINAL MISCHIEF 4TH, GRAFFITI","CRIMINAL MISCHIEF & RELATED OFFENSES","M","25-44","M","BLACK",40.837321839,-73.9101166,2017
"2999","ADM.CODE,UNCLASSIFIED VIOLATION","ADMINISTRATIVE CODE","V","18-24","M","ASIAN / PACIFIC ISLANDER",40.6811560450001,-73.794167049,2017
"3000","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","45-64","M","WHITE HISPANIC",40.735035624,-73.991236768,2017
"3001","BURGLARY,UNCLASSIFIED,UNKNOWN TIME","BURGLARY","F","18-24","M","WHITE",40.721946186,-73.997443631,2017
"3002","ADM.CODE,UNCLASSIFIED VIOLATION","ADMINISTRATIVE CODE","V","25-44","M","WHITE HISPANIC",40.6814466010001,-73.838650284,2017
"3003","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","25-44","M","BLACK",40.7650240790001,-73.9848359499999,2017
"3004","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","18-24","M","BLACK",40.681967344,-73.982367054,2017
"3005","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","25-44","F","BLACK",40.700302155,-73.80760338,2017
"3006","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","<18","F","WHITE HISPANIC",40.868467378,-73.821582846,2017
"3007","ROBBERY,UNCLASSIFIED,OPEN AREAS","ROBBERY","F","45-64","M","BLACK",40.593678066,-73.763502897,2017
"3008","ASSAULT 2,1,UNCLASSIFIED","FELONY ASSAULT","F","18-24","M","BLACK",40.715526213,-74.0012387479999,2017
"3009","INTOXICATED DRIVING,ALCOHOL","INTOXICATED & IMPAIRED DRIVING","M","25-44","M","UNKNOWN",40.6183488930001,-74.0301757399999,2017
"3010","FORGERY,ETC.,UNCLASSIFIED-FELONY","FORGERY","F","25-44","M","WHITE HISPANIC",40.669624113,-73.911204138,2017
"3011","WEAPONS, POSSESSION, ETC","DANGEROUS WEAPONS","M","25-44","M","BLACK",40.7562662070001,-73.990501248,2017
"3012","CONTEMPT,CRIMINAL","OFFENSES AGAINST PUBLIC ADMINISTRATION","M","25-44","M","BLACK",40.6214155990001,-74.080078505,2017
"3013","CONTEMPT,CRIMINAL","OFFENSES AGAINST PUBLIC ADMINISTRATION","M","25-44","M","BLACK",40.645022746,-74.077216847,2017
"3014","DISORDERLY CONDUCT SUBD 1,2,3,4,5,6,7","DISORDERLY CONDUCT","V","25-44","F","WHITE",40.7684435630001,-73.9816510109999,2017
"3015","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","25-44","M","WHITE",40.757240531,-73.9897936369999,2017
"3016","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","25-44","M","WHITE",40.749971219,-73.9803604109999,2017
"3017","BRIBERY,PUBLIC ADMINISTRATION","MISCELLANEOUS PENAL LAW","F","45-64","M","BLACK HISPANIC",40.744793357,-73.993292546,2017
"3018","WEAPONS, POSSESSION, ETC","DANGEROUS WEAPONS","M","18-24","M","BLACK",40.5766336520001,-73.98477432,2017
"3019","NY STATE LAWS,UNCLASSIFIED MISDEMEANOR","OTHER STATE LAWS (NON PENAL LAW)","M","45-64","F","ASIAN / PACIFIC ISLANDER",40.714277205,-73.9941433129999,2017
"3020","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","18-24","M","WHITE HISPANIC",40.8588227480001,-73.861775773,2017
"3021","WEAPONS, POSSESSION, ETC","DANGEROUS WEAPONS","M","18-24","M","BLACK",40.604164907,-73.995139718,2017
"3022","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","25-44","M","WHITE HISPANIC",40.8680375800001,-73.882365367,2017
"3023","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","25-44","M","WHITE HISPANIC",40.8210253980001,-73.937604737,2017
"3024","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","<18","F","BLACK",40.7074473640001,-73.792141768,2017
"3025","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","18-24","M","BLACK",40.702482133,-73.799922252,2017
"3026","GAMBLING 2,PROMOTING,UNCLASSIFIED","GAMBLING","M","18-24","M","BLACK",40.8172903380001,-73.9385403429999,2017
"3027","MISCHIEF,CRIMINAL,    UNCL 2ND","CRIMINAL MISCHIEF & RELATED OFFENSES","F","<18","M","BLACK",40.67459999,-73.930574822,2017
"3028","FORGERY,ETC.,UNCLASSIFIED-FELONY","FORGERY","F","25-44","M","UNKNOWN",40.6934713250001,-73.987243065,2017
"3029","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","18-24","M","WHITE HISPANIC",40.63699139,-74.134092508,2017
"3030","GAMBLING 2,PROMOTING,UNCLASSIFIED","GAMBLING","M","25-44","M","BLACK",40.6801198680001,-73.922204596,2017
"3031","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","M","WHITE HISPANIC",40.6591156050001,-73.995755646,2017
"3032","US CODE,UNCLASSIFIED","F.C.A. P.I.N.O.S.","","25-44","M","BLACK",40.694388072,-73.9871960089999,2017
"3033","MISCHIEF,CRIMINAL,    UNCL 2ND DEG 3RD DEG","CRIMINAL MISCHIEF & RELATED OFFENSES","F","25-44","M","WHITE",40.7290647500001,-73.811020132,2017
"3034","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","25-44","M","BLACK",40.785874639,-73.9509301529999,2017
"3035","ADM.CODE,UNCLASSIFIED VIOLATION","ADMINISTRATIVE CODE","V","45-64","M","BLACK",40.6521054730001,-73.964341211,2017
"3036","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","25-44","M","ASIAN / PACIFIC ISLANDER",40.6714158440001,-73.799413423,2017
"3037","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","65+","M","BLACK",40.849326595,-73.9026110299999,2017
"3038","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","F","BLACK",40.818504014,-73.9395038599999,2017
"3039","FORGERY,ETC.,UNCLASSIFIED-FELONY","FORGERY","F","<18","M","BLACK",40.587950312,-73.9835980089999,2017
"3040","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","WHITE HISPANIC",40.816087661,-73.8958243539999,2017
"3041","WEAPONS, POSSESSION, ETC","DANGEROUS WEAPONS","M","25-44","M","BLACK HISPANIC",40.8635664,-73.8997376849999,2017
"3042","MENACING,UNCLASSIFIED","ASSAULT 3 & RELATED OFFENSES","M","25-44","M","BLACK",40.681845443,-73.7643583989999,2017
"3043","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","18-24","M","BLACK",40.8330641840001,-73.9059160429999,2017
"3044","CONTROLLED SUBSTANCE, POSSESSION 7","DANGEROUS DRUGS","M","45-64","M","BLACK",40.6836128950001,-73.943963727,2017
"3045","ASSAULT 2,1,UNCLASSIFIED","FELONY ASSAULT","F","<18","F","BLACK",40.63810339,-74.1289783239999,2017
"3046","TRESPASS 3, CRIMINAL","CRIMINAL TRESPASS","M","25-44","M","WHITE HISPANIC",40.7427294440001,-73.924480799,2017
"3047","PUBLIC ADMINISTATION,UNCLASS MISDEMEAN 4","OFFENSES AGAINST PUBLIC ADMINISTRATION","M","25-44","M","BLACK HISPANIC",40.804012949,-73.8783318329999,2017
"3048","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","25-44","F","BLACK",40.7130121640001,-73.782367026,2017
"3049","FORGERY,ETC.-MISD.","OFFENSES INVOLVING FRAUD","M","25-44","M","BLACK",40.6635871770001,-73.924988517,2017
"3050","PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY","MISCELLANEOUS PENAL LAW","F","25-44","F","WHITE HISPANIC",40.7128516870001,-73.983830602,2017
"3051","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","45-64","M","BLACK",40.5741401280001,-74.106007765,2017
"3052","ASSAULT 3","ASSAULT 3 & RELATED OFFENSES","M","18-24","M","WHITE HISPANIC",40.695181168,-73.84441942,2017
"3053","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","25-44","M","BLACK",40.790322425,-73.9476874979999,2017
"3054","MURDER,UNCLASSIFIED","MURDER & NON-NEGL. MANSLAUGHTER","F","<18","M","WHITE HISPANIC",40.858373133,-73.899402084,2017
"3055","AGGRAVATED HARASSMENT 2","OFF. AGNST PUB ORD SENSBLTY &","M","25-44","M","WHITE",40.67459999,-73.930574822,2017
"3056","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","45-64","M","BLACK HISPANIC",40.8468833430001,-73.908759117,2017
"3057","LEWDNESS,PUBLIC","OFF. AGNST PUB ORD SENSBLTY & RGHTS TO PRIV","M","45-64","M","BLACK",40.6803986090001,-73.949558393,2017
"3058","PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY","MISCELLANEOUS PENAL LAW","F","25-44","M","WHITE",40.602070698,-74.002691509,2017
"3059","CRIMINAL MISCHIEF 4TH, GRAFFITI","CRIMINAL MISCHIEF & RELATED OFFENSES","M","25-44","M","WHITE",40.7623158000001,-73.827448002,2017
"3060","TRAFFIC,UNCLASSIFIED MISDEMEAN","VEHICLE AND TRAFFIC LAWS","M","25-44","F","WHITE HISPANIC",40.820445512,-73.936232347,2017
"3061","THEFT OF SERVICES, UNCLASSIFIED","OTHER OFFENSES RELATED TO THEFT","M","45-64","M","BLACK",40.8278199010001,-73.925930756,2017
"3062","US CODE,UNCLASSIFIED","F.C.A. P.I.N.O.S.","","25-44","M","BLACK HISPANIC",40.84304926,-73.838782395,2017
"3063","CONTROLLED SUBSTANCE,INTENT TO SELL 3","DANGEROUS DRUGS","F","45-64","M","WHITE HISPANIC",40.7587146540001,-73.937919387,2017
"3064","WEAPONS POSSESSION 3","DANGEROUS WEAPONS","F","45-64","M","BLACK",40.8160888740001,-73.917688689,2017
"3065","TRESPASS 3, CRIMINAL","CRIMINAL TRESPASS","M","25-44","F","BLACK HISPANIC",40.84774208,-73.932121836,2017
"3066","MARIJUANA, POSSESSION 4 & 5","DANGEROUS DRUGS","M","25-44","M","BLACK HISPANIC",40.817780148,-73.894716176,2017
"3067","PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY","MISCELLANEOUS PENAL LAW","F","25-44","M","BLACK HISPANIC",40.7558667540001,-73.925927745,2017
"3068","LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED","PETIT LARCENY","M","25-44","M","WHITE HISPANIC",40.7574461030001,-73.9716808169999,2017
